rank	address	max_balance_raw	max_pct	best_rank	snapshot_count	snapshots	first_seen
1	0xab5801a7d398351b8be11c439e05c5b3259aec9b	6.890000014458408e+32	68.9	1	3	pre-announcement,weekly-2026-07-05,latest	pre-announcement
2	0x0f2d557587022a8f500d7b9ca099342af796b946	8.46897617403254e+31	8.468976	2	3	pre-announcement,weekly-2026-07-05,latest	pre-announcement
3	0x5bf60ea5cf2383f407f09cf38378176298238a6c	7.902050328305276e+31	7.90205	2	3	pre-announcement,weekly-2026-07-05,latest	pre-announcement
4	0x92c889c4a6472d0e841ba9e360430b9ec4e3911c	1.5963161082894107e+31	1.596316	4	3	pre-announcement,weekly-2026-07-05,latest	pre-announcement
5	0xf801f3e34e52fea91d23adb9319446307af6a3a3	9.942232715475318e+30	0.994223	5	3	pre-announcement,weekly-2026-07-05,latest	pre-announcement
6	0x1e544b6d506bb1843877ad6a9c95c2bbc964d962	7.234427926200592e+30	0.723443	6	3	pre-announcement,weekly-2026-07-05,latest	pre-announcement
7	0xbe23cbb62064b8b1550ae5ada59c39d45b1e2081	4.69183709862045e+30	0.469184	7	3	pre-announcement,weekly-2026-07-05,latest	pre-announcement
8	0x0e3c595aeed20089f8be703abcef127c17833816	3.783059422912937e+30	0.378306	8	3	pre-announcement,weekly-2026-07-05,latest	pre-announcement
9	0x54de7d80f049e3d1fa8facc7b99386ffbbd9c90a	3.500952140528896e+30	0.350095	8	3	pre-announcement,weekly-2026-07-05,latest	pre-announcement
10	0x69a021e4f1da17b69ca7c76ea3c25562a8d434d2	3.325876944752283e+30	0.332588	9	1	latest	latest
11	0x57d61d8e93101dcb279da9d866d9cee35f356f26	2.9629727347002574e+30	0.296297	9	3	pre-announcement,weekly-2026-07-05,latest	pre-announcement
12	0x6b916d50869cdf9955fecb5dacb75278e31b2174	2.722044974090152e+30	0.272204	11	1	pre-announcement	pre-announcement
13	0x79bfade93e6cf3bfa75515bfcfaddfd8b2d97ea2	2.0405816535058563e+30	0.204058	10	3	pre-announcement,weekly-2026-07-05,latest	pre-announcement
14	0x5107a9bc9f2b6a452e0e38a1eb9fc55e3ddc0165	1.931435858083364e+30	0.193144	12	1	latest	latest
15	0xe9387fa53c0dad42f96ee0fb070966f237a2dd40	1.617113869631329e+30	0.161711	11	3	pre-announcement,weekly-2026-07-05,latest	pre-announcement
16	0xf970ad270abacf305057f44db6e1524f8f18f937	1.553701814995157e+30	0.15537	12	3	pre-announcement,weekly-2026-07-05,latest	pre-announcement
